weeks,mae,rmse,r2,mape,median_ae
1,13.358339309692383,16.281275304382927,-0.002936840057373047,21.825338,13.073303
2,13.423379898071289,16.341088043556514,-0.01031947135925293,21.531944,11.869568
4,12.980857849121094,16.16453637838478,0.011393964290618896,20.827955,9.958916
8,12.470823287963867,15.840568147739022,0.051448941230773926,19.96624,10.636459
16,10.458030700683594,13.520531194962176,0.18104016780853271,17.563087,8.202129
32,7.8460588455200195,10.751342334774375,0.5314847230911255,15.206347,5.573038
64,9.05748462677002,12.47377742670662,0.47351133823394775,19.891558,6.330578
104,8.562878608703613,12.139389466168721,0.5609326958656311,18.686373,5.9083405
