weeks,mae,rmse,r2,mape,median_ae
1,14.388249397277832,17.676983298215525,-0.18226027488708496,25.781649,12.303413
2,13.515076637268066,16.359653882233705,-0.012616515159606934,22.827082,12.216789
4,13.559088706970215,16.44284701679056,-0.0229414701461792,23.103752,11.577896
8,13.109954833984375,16.28307650053471,-0.002287149429321289,21.415075,10.949043
16,9.726125717163086,12.660881193568489,0.28187018632888794,16.606453,7.4811974
32,7.954671382904053,10.73038947288243,0.5333091020584106,15.642035,5.714403
64,8.314447402954102,11.660034547103557,0.5399630069732666,17.424452,5.7948265
104,7.900493621826172,11.250336705573284,0.6228896379470825,16.818867,5.201893
