weeks,mae,rmse,r2,mape,median_ae
1,904.4785766601562,905.8066501743074,-340.2840881347656,90.46462,896.84564
2,682.6900634765625,684.4486604194649,-193.86184692382812,68.22405,675.0574
4,41.12833023071289,55.00724827948813,-0.25859177112579346,3.991812,29.86206
8,76.41346740722656,98.51965817477749,-0.0011888742446899414,8.530054,64.60712
16,33.318580627441406,49.99108563112153,0.7443912029266357,3.9584148,25.399841
32,38.09430694580078,62.87372637875061,0.6103864908218384,4.615996,23.846588
64,39.50133514404297,65.20799054755483,0.4970766305923462,4.8404646,26.898254
104,35.29468536376953,58.81678385036027,0.4722815155982971,4.1665683,22.576416
