weeks,mae,rmse,r2,mape,median_ae
1,643.1719970703125,645.163060783861,-172.13467407226562,64.255135,634.53784
2,609.760498046875,611.7374334630831,-154.65933227539062,60.9103,602.0277
4,543.431640625,545.6396762058273,-122.83885955810547,54.25942,535.7943
8,336.5832214355469,350.51504514785097,-11.67311954498291,34.622585,354.69995
16,55.18471145629883,75.48256537625925,0.4172476530075073,6.0991516,40.38504
32,42.89932632446289,68.74137019701091,0.5342723727226257,5.061786,27.410156
64,43.02672576904297,69.53111306166291,0.428180992603302,5.1049256,29.189636
104,38.9332275390625,61.46176720632917,0.42375147342681885,4.562029,25.96054
