weeks,mae,rmse,r2,mape,median_ae
1,47.814476013183594,58.55753881066468,-0.4262993335723877,4.771486,43.972595
2,44.255699157714844,56.85535589670181,-0.3445836305618286,4.37327,39.191772
4,44.3310432434082,55.16762010993179,-0.26594114303588867,4.4105196,40.34137
8,48.05067825317383,62.344662430666425,0.5990698337554932,5.237645,40.008118
16,44.12092590332031,61.27023541693695,0.616036593914032,5.1510277,36.381744
32,52.722660064697266,75.89964977480133,0.4322264790534973,6.421247,40.3526
64,51.15810775756836,76.37974680932275,0.30998802185058594,6.1638365,38.70935
104,51.754150390625,71.87363789470204,0.2119768261909485,6.044178,41.45868
