weeks,mae,rmse,r2,mape,median_ae
1,20.423622131347656,26.69731756444304,-0.8584035634994507,24.549652,15.479191
2,17.335735321044922,21.907894491813977,-0.25142860412597656,22.207012,13.585346
4,16.06683921813965,20.307875074440027,-0.07531023025512695,20.92337,13.620693
8,16.208642959594727,20.744659104156334,0.04157817363739014,21.132425,13.103661
16,15.531732559204102,20.878743641204952,0.09116899967193604,20.293875,11.178295
32,25.296335220336914,33.14065078381835,0.18653076887130737,30.375969,19.385895
64,22.051239013671875,30.364353401966774,0.1966317892074585,27.294931,15.012346
104,21.86437225341797,30.21195874437596,0.204675555229187,26.556337,15.058346
