epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,12,,,,,21277.4765625,115.96123504638672,136.1042938232422
0,12,,,,29960.2890625,,,
1,25,,,,,19900.59765625,109.76697540283203,130.71231079101562
1,25,,,,28547.46875,,,
2,38,,,,,18517.62890625,103.26582336425781,125.09732818603516
2,38,,,,26892.28125,,,
3,51,,,,,17033.12109375,95.814208984375,118.74910736083984
3,51,,,,25158.88671875,,,
4,64,,,,,15480.625,87.35098266601562,111.67733001708984
4,64,,,,23153.0390625,,,
5,77,,,,,13896.974609375,77.7796630859375,103.91790008544922
5,77,,,,21160.365234375,,,
6,90,,,,,12332.875,67.23058319091797,96.00475311279297
6,90,,,,19037.474609375,,,
7,103,,,,,10876.8583984375,65.51200866699219,91.77657318115234
7,103,,,,16896.45703125,,,
8,116,,,,,9613.0166015625,68.6722412109375,89.2120132446289
8,116,,,,14992.0703125,,,
9,129,,,,,8630.517578125,72.84388732910156,87.39716339111328
9,129,,,,13177.0537109375,,,
10,142,,,,,8010.79833984375,77.30498504638672,86.64559173583984
10,142,,,,11465.3310546875,,,
11,155,,,,,7836.39111328125,81.8106918334961,87.34915161132812
11,155,,,,10306.5244140625,,,
12,168,,,,,8029.7021484375,85.48323822021484,89.14686584472656
12,168,,,,9737.482421875,,,
13,181,,,,,8241.2607421875,87.33401489257812,90.4939193725586
13,181,,,,9265.58984375,,,
14,194,,,,,8384.9853515625,88.31836700439453,91.33300018310547
14,194,,,,9442.0869140625,,,
15,207,,,,,8494.2001953125,88.982421875,91.947265625
15,207,,,,9601.451171875,,,
16,220,,,,,8452.6201171875,88.736572265625,91.7152328491211
16,220,,,,9375.9931640625,,,
17,233,,,,,8396.412109375,88.39099884033203,91.39788055419922
17,233,,,,9506.6474609375,,,
18,246,,,,,8370.5908203125,88.2265625,91.25053405761719
18,246,,,,9437.412109375,,,
19,259,,,,,8410.9912109375,88.4823226928711,91.4805679321289
19,259,,,,9480.421875,,,
20,272,,,,,8417.9853515625,88.5257797241211,91.52010345458984
20,272,,,,9206.701171875,,,
21,285,,,,,8488.8056640625,88.95082092285156,91.9168930053711
21,285,,,,9751.01171875,,,
22,286,9655.544921875,90.69817352294922,94.32678985595703,,,,
