weeks,mae,rmse,r2,mape,median_ae
1,15.91669750213623,19.124263574720743,0.04638242721557617,20.490162,17.526634
2,15.660255432128906,19.48437030122237,0.010131418704986572,20.644094,11.94957
4,14.90041732788086,19.031292494051492,0.05563175678253174,19.266705,11.87804
8,15.422064781188965,19.633829062420396,0.1414726972579956,19.764154,12.094284
16,16.20344352722168,20.3392649685993,0.1375281810760498,21.94832,13.041525
32,25.494482040405273,32.428690925123504,0.22110682725906372,29.590384,20.802813
64,21.090789794921875,30.124733571500784,0.20926129817962646,25.937548,13.667412
104,20.26863670349121,29.693481099800657,0.23173892498016357,25.137484,12.411108
