epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,24,,,,,5168.439453125,68.86483764648438,71.7579345703125
0,24,,,,5938.0634765625,,,
1,49,,,,,3660.90673828125,56.87560272216797,60.34749221801758
1,49,,,,4548.708984375,,,
2,74,,,,,2127.212158203125,41.244873046875,45.920162200927734
2,74,,,,2997.60400390625,,,
3,99,,,,,887.7247314453125,21.952905654907227,29.53030014038086
3,99,,,,1564.155517578125,,,
4,124,,,,,426.5611267089844,17.774555206298828,20.444372177124023
4,124,,,,639.1068725585938,,,
5,149,,,,,426.24908447265625,17.441692352294922,20.440473556518555
5,149,,,,511.77838134765625,,,
6,174,,,,,427.0634765625,17.288219451904297,20.4613094329834
6,174,,,,494.91827392578125,,,
7,199,,,,,426.59832763671875,17.782785415649414,20.445167541503906
7,199,,,,493.55718994140625,,,
8,224,,,,,426.72900390625,17.334598541259766,20.452913284301758
8,224,,,,490.11572265625,,,
9,249,,,,,429.05419921875,17.119707107543945,20.51007652282715
9,249,,,,488.8045349121094,,,
10,274,,,,,426.2290954589844,17.681013107299805,20.43750762939453
10,274,,,,515.6998291015625,,,
11,299,,,,,427.5242919921875,17.23777198791504,20.472734451293945
11,299,,,,522.9398193359375,,,
12,324,,,,,426.3119812011719,17.422229766845703,20.44215965270996
12,324,,,,493.15325927734375,,,
13,349,,,,,426.83062744140625,17.319087982177734,20.455476760864258
13,349,,,,481.5641784667969,,,
14,374,,,,,426.0730895996094,17.568130493164062,20.43500518798828
14,374,,,,490.3392333984375,,,
15,399,,,,,426.8153076171875,17.321306228637695,20.455089569091797
15,399,,,,512.3359985351562,,,
16,424,,,,,426.6856384277344,17.341896057128906,20.451812744140625
16,424,,,,513.4488525390625,,,
17,449,,,,,426.65240478515625,17.347787857055664,20.450965881347656
17,449,,,,506.1781921386719,,,
18,474,,,,,427.00860595703125,17.294984817504883,20.45993995666504
18,474,,,,497.7843017578125,,,
19,499,,,,,427.1941833496094,17.272884368896484,20.46456527709961
19,499,,,,512.33837890625,,,
20,524,,,,,426.35302734375,17.411203384399414,20.4432430267334
20,524,,,,507.202880859375,,,
21,549,,,,,426.0976257324219,17.516803741455078,20.43611717224121
21,549,,,,505.44573974609375,,,
22,574,,,,,426.8546447753906,17.315677642822266,20.456083297729492
22,574,,,,504.45611572265625,,,
23,599,,,,,426.35595703125,17.410438537597656,20.443321228027344
23,599,,,,486.591064453125,,,
24,624,,,,,427.03656005859375,17.29148292541504,20.46063804626465
24,624,,,,491.8149108886719,,,
25,625,454.0780029296875,18.088027954101562,21.194686889648438,,,,
