weeks,mae,rmse,r2,mape,median_ae
1,642.9075927734375,644.8924571197898,-171.9894561767578,64.22922,634.20996
2,609.7744750976562,611.7490805060519,-154.66525268554688,60.911846,602.0698
4,543.4137573242188,545.622064711463,-122.83085632324219,54.257626,535.7755
8,336.2575988769531,350.191878207505,-11.649761199951172,34.588543,354.3629
16,54.574928283691406,74.85172843695729,0.42694753408432007,6.0407867,39.68979
32,40.65181350708008,66.8848342652316,0.559088945388794,4.8885593,25.32956
64,43.0035514831543,69.53954304476699,0.42804235219955444,5.104433,28.75531
104,39.91433334350586,61.91562941629218,0.41520947217941284,4.678288,28.389557
