weeks,mae,rmse,r2,mape,median_ae
1,27.34917449951172,44.79830967575325,-0.12400603294372559,25.919071,11.485283
2,40.2585563659668,44.32618215913353,-0.10043919086456299,56.2214,38.16047
4,33.80117416381836,42.2768036279944,-0.001035928726196289,42.073364,26.749
8,37.9288330078125,43.90093662244719,-3.2186508178710938e-06,59.266518,31.39465
16,22.818416595458984,37.227555239911,0.21510380506515503,46.432217,8.226128
32,19.43254852294922,29.828780808990185,0.34308046102523804,36.83855,9.685719
64,16.158166885375977,29.796531895310924,0.5613454580307007,27.897886,4.5754623
104,13.699891090393066,27.445857345858567,0.6285103559494019,29.340822,3.679596
