weeks,mae,rmse,r2,mape,median_ae
1,17.01511573791504,19.130357577805164,-0.06681537628173828,23.096294,16.794315
2,17.118614196777344,19.203155989346435,-0.0749502182006836,23.299454,16.88985
4,15.710036277770996,18.537638548875368,-0.001732945442199707,20.408316,16.834719
8,17.2847900390625,20.508349695345125,-0.0019315481185913086,23.58083,16.789883
16,18.44905662536621,23.195842712447956,-0.01146554946899414,24.19574,15.979973
32,20.706890106201172,29.000731360322515,0.35112738609313965,25.14854,13.759823
64,16.791542053222656,26.553603749214766,0.3856250047683716,20.388784,8.329227
104,17.38091468811035,27.26437922476356,0.3522942066192627,21.045862,8.868837
