weeks,mae,rmse,r2,mape,median_ae
1,877.202392578125,878.5830922570727,-320.078125,87.72848,869.1189
2,855.6486206054688,857.0552053397728,-304.53619384765625,85.56782,847.9269
4,809.4810180664062,810.9645106291644,-272.55755615234375,80.93841,801.8462
8,642.34326171875,649.8456066636136,-42.56026840209961,67.174484,660.6461
16,272.037109375,288.550566950578,-7.515978813171387,30.015512,252.47711
32,43.09563064575195,67.84724052513116,0.5463091731071472,5.136679,27.491913
64,43.49803161621094,69.57168417022295,0.4275134801864624,5.2430696,29.477173
104,38.943058013916016,61.77273351138631,0.41790562868118286,4.6035285,26.801025
