weeks,mae,rmse,r2,mape,median_ae
1,642.5988159179688,644.5657452890279,-171.81422424316406,64.199104,634.1116
2,609.7703857421875,611.7469350147984,-154.66416931152344,60.911324,602.046
4,543.1928100585938,545.4023171017886,-122.73114013671875,54.235466,535.5514
8,335.3551330566406,349.2963462448469,-11.585145950317383,34.494213,353.42914
16,56.185909271240234,77.7576237218898,0.38158977031707764,6.1533737,38.4364
32,42.05320739746094,67.44142785711354,0.5517202615737915,5.0047994,26.878998
64,42.05154800415039,68.91254222971679,0.438309907913208,4.9863143,27.567932
104,39.17787551879883,61.21374485026831,0.42839282751083374,4.5924687,27.214691
