epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,308,,,,,555.4791259765625,18.46328353881836,20.950925827026367
0,308,,,,2024.0667724609375,,,
1,617,,,,,126.14662170410156,7.783475399017334,9.730752944946289
1,617,,,,624.2550659179688,,,
2,926,,,,,56.56378936767578,5.3390960693359375,6.92659330368042
2,926,,,,152.45460510253906,,,
3,1235,,,,,49.355812072753906,4.685548305511475,6.269902229309082
3,1235,,,,117.79249572753906,,,
4,1544,,,,,42.609310150146484,4.37565803527832,5.818963050842285
4,1544,,,,111.54344177246094,,,
5,1853,,,,,46.13908004760742,4.993501663208008,6.298322677612305
5,1853,,,,108.52714538574219,,,
6,2162,,,,,45.622169494628906,4.951803207397461,6.225499629974365
6,2162,,,,102.88516998291016,,,
7,2471,,,,,38.88736343383789,4.445999622344971,5.712215900421143
7,2471,,,,104.54894256591797,,,
8,2780,,,,,34.49146270751953,3.9707887172698975,5.299661636352539
8,2780,,,,100.45905303955078,,,
9,3089,,,,,45.169891357421875,5.1900634765625,6.371871471405029
9,3089,,,,98.07633209228516,,,
10,3398,,,,,33.277313232421875,4.015679836273193,5.261919975280762
10,3398,,,,100.9404525756836,,,
11,3707,,,,,34.8321533203125,4.022129058837891,5.363087177276611
11,3707,,,,95.35856628417969,,,
12,4016,,,,,34.44895935058594,3.999366044998169,5.369826316833496
12,4016,,,,96.4737319946289,,,
13,4325,,,,,33.91550827026367,3.9705309867858887,5.285099983215332
13,4325,,,,96.51947784423828,,,
14,4634,,,,,37.5596809387207,4.3001251220703125,5.554224967956543
14,4634,,,,97.24884796142578,,,
15,4943,,,,,37.38581466674805,4.069730281829834,5.491986274719238
15,4943,,,,95.17993927001953,,,
16,5252,,,,,36.37308120727539,4.286553382873535,5.607231140136719
16,5252,,,,96.23568725585938,,,
17,5561,,,,,33.67844009399414,3.9176688194274902,5.276696681976318
17,5561,,,,87.05384826660156,,,
18,5870,,,,,33.60787582397461,3.933309316635132,5.282156467437744
18,5870,,,,87.95135498046875,,,
19,6179,,,,,31.498483657836914,3.769619941711426,5.0695366859436035
19,6179,,,,91.07686614990234,,,
20,6488,,,,,34.43544006347656,3.8937289714813232,5.249759674072266
20,6488,,,,87.73515319824219,,,
21,6797,,,,,37.9520263671875,4.342279434204102,5.654824256896973
21,6797,,,,86.63876342773438,,,
22,7106,,,,,33.145362854003906,3.837393045425415,5.191380023956299
22,7106,,,,86.92476654052734,,,
23,7415,,,,,37.17387771606445,4.123291969299316,5.592247009277344
23,7415,,,,88.72067260742188,,,
24,7724,,,,,35.256797790527344,3.995515823364258,5.39747428894043
24,7724,,,,89.73546600341797,,,
25,8033,,,,,34.66404342651367,3.972390651702881,5.326333999633789
25,8033,,,,88.32977294921875,,,
26,8342,,,,,32.016517639160156,3.835754632949829,5.13142728805542
26,8342,,,,83.00733947753906,,,
27,8651,,,,,33.435096740722656,3.9670791625976562,5.260931015014648
27,8651,,,,83.40509033203125,,,
28,8960,,,,,33.0289421081543,3.8499081134796143,5.181011199951172
28,8960,,,,84.51566314697266,,,
29,9269,,,,,34.18031311035156,3.9700238704681396,5.282286167144775
29,9269,,,,85.88196563720703,,,
30,9578,,,,,33.44430923461914,3.8592922687530518,5.218497276306152
30,9578,,,,85.86859130859375,,,
31,9887,,,,,34.00871658325195,3.921912431716919,5.285727500915527
31,9887,,,,85.05148315429688,,,
32,10196,,,,,34.38188171386719,3.918635129928589,5.2934184074401855
32,10196,,,,85.05706024169922,,,
33,10505,,,,,34.857200622558594,3.9087631702423096,5.297658920288086
33,10505,,,,83.98220825195312,,,
34,10814,,,,,35.54609680175781,4.028106212615967,5.391539096832275
34,10814,,,,81.78285217285156,,,
35,10815,117.29158782958984,8.643684387207031,9.937923431396484,,,,
