epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,310,,,,,468.93182373046875,14.66026496887207,18.17116355895996
0,310,,,,127520.9453125,,,
1,621,,,,,103.84591674804688,6.859720706939697,8.851816177368164
1,621,,,,276.25555419921875,,,
2,932,,,,,73.15563201904297,5.666234970092773,7.229830741882324
2,932,,,,143.16436767578125,,,
3,1243,,,,,63.0158805847168,5.5116868019104,6.896777629852295
3,1243,,,,108.96031951904297,,,
4,1554,,,,,50.94705581665039,4.636233329772949,5.968217849731445
4,1554,,,,86.7874526977539,,,
5,1865,,,,,50.193172454833984,4.860069751739502,6.1603474617004395
5,1865,,,,75.53047180175781,,,
6,2176,,,,,43.294673919677734,4.284010410308838,5.58261775970459
6,2176,,,,67.58561706542969,,,
7,2487,,,,,37.325904846191406,3.7740840911865234,4.989266872406006
7,2487,,,,65.27928924560547,,,
8,2798,,,,,45.255245208740234,4.455751895904541,5.743472099304199
8,2798,,,,58.95052719116211,,,
9,3109,,,,,36.524662017822266,3.7757370471954346,4.991650581359863
9,3109,,,,54.96625518798828,,,
10,3420,,,,,36.36239242553711,3.7293002605438232,5.026133060455322
10,3420,,,,55.11058044433594,,,
11,3731,,,,,35.50115966796875,3.6518895626068115,4.881056308746338
11,3731,,,,50.55448913574219,,,
12,4042,,,,,34.487945556640625,3.5896332263946533,4.864749908447266
12,4042,,,,49.27577590942383,,,
13,4353,,,,,39.20289611816406,3.911759614944458,5.2114176750183105
13,4353,,,,48.9539680480957,,,
14,4664,,,,,35.04645919799805,3.6512606143951416,4.866236209869385
14,4664,,,,48.759090423583984,,,
15,4975,,,,,37.6305046081543,3.757725715637207,5.054978370666504
15,4975,,,,46.681209564208984,,,
16,5286,,,,,33.109195709228516,3.531780481338501,4.736057281494141
16,5286,,,,43.901466369628906,,,
17,5597,,,,,37.872230529785156,3.8080461025238037,5.107356071472168
17,5597,,,,43.45454025268555,,,
18,5908,,,,,32.05059814453125,3.5156683921813965,4.72158145904541
18,5908,,,,42.698326110839844,,,
19,6219,,,,,34.41959762573242,3.544410228729248,4.812063694000244
19,6219,,,,41.17952346801758,,,
20,6220,7.730679988861084,1.384822130203247,1.8401645421981812,,,,
