weeks,mae,rmse,r2,mape,median_ae
1,642.7146606445312,644.6888299792389,-171.88021850585938,64.21031,634.1909
2,609.7357177734375,611.7125805883021,-154.6466827392578,60.90785,602.0093
4,543.3168334960938,545.5258071347313,-122.78717041015625,54.24789,535.6759
8,336.2561950683594,350.19045041591295,-11.649658203125,34.588394,354.3615
16,52.514312744140625,73.21339142256524,0.4517586827278137,5.7942977,36.465332
32,43.203460693359375,68.79894564508238,0.533491849899292,5.138031,29.282745
64,41.964115142822266,67.93864994426957,0.4540736675262451,5.0142026,28.678467
104,39.766597747802734,61.62664607018116,0.4206555485725403,4.649718,27.516327
