weeks,mae,rmse,r2,mape,median_ae
1,904.6618041992188,905.9895487807793,-340.42193603515625,90.48299,897.02875
2,593.9776000976562,595.9979551139417,-146.75241088867188,59.328133,586.3447
4,48.535030364990234,63.90969581174675,-0.6989419460296631,4.687071,36.35431
8,77.4424057006836,98.73545680092587,-0.005579710006713867,8.603048,66.92633
16,81.40062713623047,99.26902761561634,-0.007901787757873535,9.176965,77.02048
32,36.8282585144043,62.66626907114285,0.6129533648490906,4.4567394,21.708557
64,39.189823150634766,65.67924469414785,0.48978114128112793,4.7292256,24.533386
104,35.38523864746094,59.303791592659785,0.46350622177124023,4.1794834,22.84021
