weeks,mae,rmse,r2,mape,median_ae
1,883.1419677734375,884.5625684483829,-324.4634094238281,88.32265,877.7835
2,847.1430053710938,848.5394436913348,-298.4946594238281,84.722885,843.6921
4,799.8872680664062,801.5804310859891,-266.26324462890625,79.98288,795.8154
8,617.4701538085938,625.1331858092321,-39.31023406982422,64.548096,634.9054
16,297.8514404296875,339.0338524764157,-10.756467819213867,32.982662,261.5235
32,67.29144287109375,93.56051684604996,0.13725817203521729,7.832344,50.15695
64,45.56612014770508,71.62678608157007,0.39319223165512085,5.4230204,30.80774
104,41.67404556274414,64.27485383832078,0.3697947859764099,4.865357,29.359497
