weeks,mae,rmse,r2,mape,median_ae
1,846.5748901367188,847.9958357798698,-298.1110534667969,84.65799,838.92914
2,825.3486328125,826.8039746517913,-283.3479919433594,82.52958,817.71106
4,779.4337158203125,780.9744313996457,-252.69895935058594,77.92534,771.79944
8,614.1256103515625,621.967643852958,-38.90302276611328,64.16945,632.42505
16,259.2929382324219,276.4718000990336,-6.817940711975098,28.567904,240.92432
32,79.81971740722656,102.20840286976164,-0.02960073947906494,9.350455,66.276
64,43.28443908691406,68.6444929054764,0.4426710605621338,5.186187,29.55243
104,39.35029983520508,62.07452245398771,0.41220414638519287,4.626941,26.798126
