weeks,mae,rmse,r2,mape,median_ae
1,52.22702407836914,65.64538745815467,-1.4135360717773438,61.223877,46.572567
2,33.57851028442383,51.31294248438935,-0.47468483448028564,34.315727,18.421227
4,26.282730102539062,40.78834349227424,0.0682111382484436,26.607216,15.531029
8,27.079652786254883,39.48575383425489,0.1910257339477539,39.53241,15.054665
16,23.988821029663086,36.93363155240001,0.2274489402770996,48.20443,9.647242
32,18.70012664794922,30.50167691983303,0.3131077289581299,34.644585,7.042466
64,20.080833435058594,32.96119026183008,0.4632192850112915,33.732304,7.870064
104,17.010780334472656,29.999432367676768,0.556167483329773,37.836876,5.2794304
