weeks,mae,rmse,r2,mape,median_ae
1,78.94652557373047,99.93469058746567,-0.05406618118286133,21.720467,63.802643
2,77.08055114746094,97.30712091748475,0.0006339550018310547,22.098024,63.706177
4,77.13176727294922,97.46961666014184,-0.0027066469192504883,21.956953,65.490265
8,67.29073333740234,85.46556495436481,0.0007738471031188965,20.614868,51.816986
16,66.91523742675781,88.36282459004607,0.0723111629486084,19.672506,50.52353
32,77.19457244873047,103.19886086005262,0.13835203647613525,20.75415,55.229263
64,73.58950805664062,99.5135384555162,0.0765485167503357,19.942198,51.719666
104,75.07955169677734,100.5107707614587,0.20125675201416016,19.88262,55.49344
