weeks,mae,rmse,r2,mape,median_ae
1,243.1624755859375,261.9211027437461,-6.24062967300415,63.859726,213.78702
2,172.6205596923828,198.17304228249614,-3.1449995040893555,43.212154,143.24565
4,85.19659423828125,97.33799641905004,-3.5762786865234375e-07,24.85125,81.84085
8,71.84454345703125,85.52234950949956,-0.0005544424057006836,22.467173,64.612
16,78.24200439453125,92.30597789248267,-0.012331724166870117,23.078547,75.34288
32,71.73835754394531,98.45315847682339,0.21577733755111694,19.687014,49.460945
64,69.44309997558594,94.6226108103264,0.16509008407592773,19.081463,48.556305
104,70.15387725830078,95.3435092999256,0.2812724709510803,18.78099,50.262756
