weeks,mae,rmse,r2,mape,median_ae
1,82.18901062011719,102.8175958083659,-0.11575853824615479,22.749088,71.39996
2,82.27351379394531,102.48558397099077,-0.10856437683105469,24.407652,68.092255
4,76.43732452392578,95.68157537994188,0.03374451398849487,22.014734,64.40268
8,68.76309967041016,85.16487914994654,0.007792413234710693,21.17743,57.845215
16,72.10013580322266,89.7767875457306,0.04238426685333252,21.720343,62.78427
32,86.89202117919922,110.24917622991566,0.01659870147705078,23.073282,70.615875
64,81.89542388916016,103.26131615499824,0.005682528018951416,22.412006,66.57892
104,86.87171936035156,110.11044703784923,0.04139643907546997,23.834452,69.793396
