weeks,mae,rmse,r2,mape,median_ae
1,27.259937286376953,33.39965732421517,-0.08484113216400146,41.106277,18.598358
2,29.196969985961914,32.122765608093275,-0.0034782886505126953,52.90322,28.566563
4,17.891029357910156,27.433524501995045,0.26811081171035767,31.731457,8.873123
8,27.619470596313477,31.066291071158926,-0.0019555091857910156,48.816647,27.01981
16,27.292844772338867,30.473965899702815,-0.0017445087432861328,48.868553,27.609138
32,16.22661590576172,25.010249363854562,0.23568707704544067,27.066433,8.154549
64,15.89901065826416,24.6744130660944,0.32897239923477173,27.878138,8.423344
104,15.619434356689453,24.42582841481533,0.33544039726257324,28.477106,7.863579
