weeks,mae,rmse,r2,mape,median_ae
1,20.508358001708984,25.423916875973422,-0.6853485107421875,25.547241,18.457474
2,15.669304847717285,20.858680056307644,-0.1344318389892578,20.067947,10.836182
4,15.684046745300293,19.780600490422902,-0.02019631862640381,20.252205,12.629059
8,15.349327087402344,20.941314076578532,0.02332073450088501,19.29061,10.420254
16,15.730757713317871,21.48285008792806,0.03781580924987793,19.95904,11.300625
32,24.273771286010742,32.36366385749997,0.2242274284362793,28.06531,18.125328
64,22.03647232055664,30.5887500702362,0.18471390008926392,26.674137,15.092489
104,22.06976890563965,30.731102075350716,0.17710798978805542,26.65481,15.040388
