weeks,mae,rmse,r2,mape,median_ae
1,16.81987190246582,19.666451576910184,-0.008455634117126465,21.961672,18.835178
2,17.324460983276367,19.86250805095416,-0.028662562370300293,22.99969,17.790863
4,16.355148315429688,19.58527605958308,-0.00014781951904296875,20.962446,17.280682
8,18.24349021911621,21.22812810521838,-0.003615856170654297,24.253817,18.337818
16,18.227733612060547,21.977425524069364,-0.006996631622314453,24.505669,16.27584
32,19.123388290405273,27.319890259819744,0.4471886157989502,23.535172,11.939585
64,17.30647087097168,27.194707647324275,0.3556002974510193,21.483473,8.853088
104,17.268524169921875,26.216252022689808,0.401136577129364,21.335577,9.57703
