epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,47,,,,,426868.75,650.5444946289062,653.236083984375
0,47,,,,430755.46875,,,
1,95,,,,,421689.0,646.5725708007812,649.2593383789062
1,95,,,,423401.09375,,,
2,143,,,,,417049.125,642.9937133789062,645.67626953125
2,143,,,,418580.59375,,,
3,191,,,,,412663.28125,639.5921630859375,642.2709350585938
3,191,,,,414086.53125,,,
4,239,,,,,408429.3125,636.2911987304688,638.9661865234375
4,239,,,,409801.9375,,,
5,287,,,,,404291.78125,633.0487060546875,635.72021484375
5,287,,,,405637.625,,,
6,335,,,,,400228.875,629.8483276367188,632.5167236328125
6,335,,,,401556.875,,,
7,383,,,,,396224.21875,626.6776733398438,629.3429565429688
7,383,,,,397542.09375,,,
8,431,,,,,392268.78125,623.5301513671875,626.1925048828125
8,431,,,,393582.21875,,,
9,479,,,,,388361.28125,620.405029296875,623.0646362304688
9,479,,,,389669.125,,,
10,527,,,,,384493.1875,617.295654296875,619.95263671875
10,527,,,,385800.21875,,,
11,575,,,,,380664.21875,614.2022094726562,616.8568725585938
11,575,,,,381972.53125,,,
12,623,,,,,376873.5,611.1242065429688,613.7765502929688
12,623,,,,378181.0625,,,
13,671,,,,,373116.46875,608.0579223632812,610.7081909179688
13,671,,,,374424.90625,,,
14,719,,,,,369391.28125,605.0022583007812,607.6505737304688
14,719,,,,370701.875,,,
15,767,,,,,365697.375,601.9569091796875,604.6033325195312
15,767,,,,367011.0,,,
16,815,,,,,362033.09375,598.9205322265625,601.5653686523438
16,815,,,,363350.375,,,
17,863,,,,,358398.84375,595.893798828125,598.5369873046875
17,863,,,,359719.46875,,,
18,911,,,,,354793.46875,592.8756103515625,595.5174560546875
18,911,,,,356118.46875,,,
19,959,,,,,351216.9375,589.8662109375,592.5068969726562
19,959,,,,352545.5625,,,
20,1007,,,,,347669.5,586.8659057617188,589.5057373046875
20,1007,,,,349002.09375,,,
21,1055,,,,,344146.875,583.8713989257812,586.5103759765625
21,1055,,,,345485.125,,,
22,1103,,,,,340653.125,580.8861083984375,583.5242309570312
22,1103,,,,341995.5625,,,
23,1151,,,,,337185.625,577.9077758789062,580.5453491210938
23,1151,,,,338532.53125,,,
24,1199,,,,,333743.28125,574.9357299804688,577.5730590820312
24,1199,,,,335095.46875,,,
25,1247,,,,,330326.875,571.970703125,574.6077270507812
25,1247,,,,331685.21875,,,
26,1295,,,,,326935.15625,569.0118408203125,571.6487426757812
26,1295,,,,328298.65625,,,
27,1343,,,,,323569.4375,566.06005859375,568.6972045898438
27,1343,,,,324937.125,,,
28,1391,,,,,320226.1875,563.11279296875,565.7501220703125
28,1391,,,,321600.59375,,,
29,1439,,,,,316907.46875,560.1715698242188,562.8093872070312
29,1439,,,,318288.4375,,,
30,1487,,,,,313615.5625,557.2386474609375,559.877197265625
30,1487,,,,314999.75,,,
31,1535,,,,,310346.59375,554.3108520507812,556.9500732421875
31,1535,,,,311736.71875,,,
32,1583,,,,,307099.25,551.3868408203125,554.0270385742188
32,1583,,,,308496.0,,,
33,1631,,,,,303873.5,548.4667358398438,551.1080322265625
33,1631,,,,305278.21875,,,
34,1679,,,,,300674.15625,545.5550537109375,548.1976318359375
34,1679,,,,302082.75,,,
35,1727,,,,,297496.375,542.6473388671875,545.2915649414062
35,1727,,,,298911.625,,,
36,1775,,,,,294337.78125,539.74169921875,542.3875122070312
36,1775,,,,295763.78125,,,
37,1823,,,,,291205.5,536.844482421875,539.4922485351562
37,1823,,,,292636.625,,,
38,1871,,,,,288096.5,533.9531860351562,536.60302734375
38,1871,,,,289533.09375,,,
39,1919,,,,,285009.6875,531.0669555664062,533.7189331054688
39,1919,,,,286451.875,,,
40,1967,,,,,281942.3125,528.1829833984375,530.8375244140625
40,1967,,,,283391.59375,,,
41,2015,,,,,278898.8125,525.3058471679688,527.9629516601562
41,2015,,,,280353.46875,,,
42,2063,,,,,275874.8125,522.4312133789062,525.0912475585938
42,2063,,,,277338.15625,,,
43,2111,,,,,272875.71875,519.5645751953125,522.2276000976562
43,2111,,,,274342.53125,,,
44,2159,,,,,269893.34375,516.6981811523438,519.3641967773438
44,2159,,,,271368.9375,,,
45,2207,,,,,266932.75,513.8387451171875,516.5059814453125
45,2207,,,,268418.21875,,,
46,2255,,,,,263998.21875,510.9886779785156,513.6573486328125
46,2255,,,,265485.84375,,,
47,2303,,,,,261078.609375,508.1370544433594,510.8074035644531
47,2303,,,,262575.1875,,,
48,2351,,,,,258181.828125,505.2917785644531,507.9639892578125
48,2351,,,,259684.125,,,
49,2399,,,,,255304.421875,502.4497375488281,505.12359619140625
49,2399,,,,256814.25,,,
50,2400,244107.640625,491.2241516113281,493.80609130859375,,,,
