epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,47,,,,,426769.40625,650.468505859375,653.1600952148438
0,47,,,,430825.15625,,,
1,95,,,,,421420.3125,646.3657836914062,649.0523071289062
1,95,,,,423186.625,,,
2,143,,,,,416822.46875,642.8182373046875,645.500732421875
2,143,,,,418321.8125,,,
3,191,,,,,412469.03125,639.4411010742188,642.1195678710938
3,191,,,,413880.28125,,,
4,239,,,,,408252.875,636.1533203125,638.8281860351562
4,239,,,,409618.375,,,
5,287,,,,,404126.59375,632.9188842773438,635.59033203125
5,287,,,,405468.65625,,,
6,335,,,,,400073.46875,629.7255249023438,632.3937377929688
6,335,,,,401396.9375,,,
7,383,,,,,396074.3125,626.5587158203125,629.223876953125
7,383,,,,397390.5625,,,
8,431,,,,,392125.90625,623.4161376953125,626.078369140625
8,431,,,,393435.84375,,,
9,479,,,,,388220.46875,620.2919921875,622.9515380859375
9,479,,,,389529.4375,,,
10,527,,,,,384357.46875,617.1863403320312,619.8431396484375
10,527,,,,385665.1875,,,
11,575,,,,,380534.53125,614.09716796875,616.7516479492188
11,575,,,,381839.21875,,,
12,623,,,,,376744.75,611.019287109375,613.6715698242188
12,623,,,,378051.0,,,
13,671,,,,,372987.40625,607.952392578125,610.6024780273438
13,671,,,,374296.96875,,,
14,719,,,,,369262.46875,604.8963623046875,607.5445556640625
14,719,,,,370575.96875,,,
15,767,,,,,365574.8125,601.8555908203125,604.5020141601562
15,767,,,,366886.5625,,,
16,815,,,,,361912.96875,598.8207397460938,601.4655151367188
16,815,,,,363229.8125,,,
17,863,,,,,358281.5625,595.7957763671875,598.4391479492188
17,863,,,,359601.0625,,,
18,911,,,,,354676.375,592.77734375,595.419189453125
18,911,,,,356003.09375,,,
19,959,,,,,351103.46875,589.7705078125,592.4111938476562
19,959,,,,352431.8125,,,
20,1007,,,,,347558.28125,586.771728515625,589.411376953125
20,1007,,,,348889.5,,,
21,1055,,,,,344036.5,583.77734375,586.4163208007812
21,1055,,,,345374.59375,,,
22,1103,,,,,340541.59375,580.79052734375,583.4286499023438
22,1103,,,,341885.78125,,,
23,1151,,,,,337078.34375,577.8154296875,580.4530029296875
23,1151,,,,338423.34375,,,
24,1199,,,,,333635.75,574.8427124023438,577.4799194335938
24,1199,,,,334988.0625,,,
25,1247,,,,,330220.75,571.87841796875,574.5155029296875
25,1247,,,,331576.6875,,,
26,1295,,,,,326830.09375,568.9197998046875,571.5567626953125
26,1295,,,,328191.6875,,,
27,1343,,,,,323461.75,565.9653930664062,568.6025390625
27,1343,,,,324832.1875,,,
28,1391,,,,,320121.03125,563.019775390625,565.6571655273438
28,1391,,,,321496.65625,,,
29,1439,,,,,316804.0,560.0796508789062,562.7174682617188
29,1439,,,,318185.1875,,,
30,1487,,,,,313512.28125,557.1464233398438,559.7849731445312
30,1487,,,,314897.9375,,,
31,1535,,,,,310244.9375,554.219482421875,556.8588256835938
31,1535,,,,311635.4375,,,
32,1583,,,,,306998.59375,551.2960205078125,553.9362182617188
32,1583,,,,308396.46875,,,
33,1631,,,,,303776.5625,548.3787841796875,551.0201416015625
33,1631,,,,305179.59375,,,
34,1679,,,,,300574.53125,545.464111328125,548.1068725585938
34,1679,,,,301986.875,,,
35,1727,,,,,297399.96875,542.5590209960938,545.2031860351562
35,1727,,,,298816.25,,,
36,1775,,,,,294245.375,539.6563720703125,542.3023071289062
36,1775,,,,295668.71875,,,
37,1823,,,,,291112.4375,536.7581176757812,539.406005859375
37,1823,,,,292543.03125,,,
38,1871,,,,,288003.03125,533.865966796875,536.515869140625
38,1871,,,,289438.875,,,
39,1919,,,,,284915.25,530.9783325195312,533.63037109375
39,1919,,,,286357.53125,,,
40,1967,,,,,281850.3125,528.0962524414062,530.7507934570312
40,1967,,,,283298.625,,,
41,2015,,,,,278805.875,525.2177124023438,527.8748779296875
41,2015,,,,280261.625,,,
42,2063,,,,,275784.03125,522.3447265625,525.0047607421875
42,2063,,,,277245.375,,,
43,2111,,,,,272782.0,519.474853515625,522.1377563476562
43,2111,,,,274251.125,,,
44,2159,,,,,269804.34375,516.6123657226562,519.2785034179688
44,2159,,,,271277.46875,,,
45,2207,,,,,266845.78125,513.7545776367188,516.421875
45,2207,,,,268324.90625,,,
46,2255,,,,,263906.6875,510.8995056152344,513.5682373046875
46,2255,,,,265355.59375,,,
47,2303,,,,,260991.4375,508.0516052246094,510.7220764160156
47,2303,,,,262457.4375,,,
48,2351,,,,,258093.515625,505.2047424316406,507.8769226074219
48,2351,,,,259555.46875,,,
49,2399,,,,,255215.5625,502.3617858886719,505.03564453125
49,2399,,,,256653.046875,,,
50,2400,244020.609375,491.13568115234375,493.7179260253906,,,,
