weeks,mae,rmse,r2,mape,median_ae
1,13.874262809753418,17.050296653337057,-0.09991884231567383,23.523743,12.386276
2,13.792840003967285,16.743407816877234,-0.060680270195007324,21.96758,12.566223
4,13.336772918701172,16.631779485887478,-0.046584248542785645,21.237614,10.484852
8,12.90797233581543,16.168215543085026,0.01180332899093628,20.210733,10.867943
16,11.905757904052734,14.831377450529608,0.014542102813720703,19.805954,10.008804
32,11.621152877807617,14.963470738534184,0.09246569871902466,22.647306,9.72983
64,12.504938125610352,15.508627182631084,0.18615859746932983,26.155096,10.594219
104,11.478557586669922,14.796323804246688,0.3477034568786621,27.097857,9.018631
